result,x1,x2,x3,x4,x5
0,-0.325722700800 ,-0.058822697460 ,-0.061339644831 ,0.000893861870 ,0.128957242901 
0,-0.088123178829 ,0.003677416642 ,-0.028714490051 ,0.024786292618 ,0.088749450496 
0,0.029287696000 ,-2.600966349000 ,-0.001349247443 ,0.007550491652 ,0.042295455701 
0,-0.070086609597 ,0.010838501206 ,-0.001573185766 ,0.007553403451 ,0.041020211615 
0,0.064593795576 ,0.000797236323 ,-0.103229495630 ,0.020453472146 ,0.097923635067 
0,-0.067980753800 ,-0.048422960700 ,-0.029941312800 ,0.008686737800 ,0.196842760800 
0,-0.109003218300 ,-0.052352041300 ,-0.052566251700 ,0.000018036400 ,0.060914869200 
0,-0.242148059200 ,-0.228447577000 ,-0.138055872600 ,0.000005787800 ,0.054873267500
0,0.034790365700 ,-0.066429081200 ,-0.029667707400 ,0.041700138100 ,0.281891168600 
0,-0.100198803200 ,-0.049431295000 ,-0.048203338800 ,0.015920019800 ,0.317284390100 
0,-1.003459534100 ,-1.061482072100 ,-0.369803779300 ,0.020825992200 ,0.115525123400 
0,0.183326773600 ,-0.286078071400 ,-0.040114449400 ,1.871523841200 ,0.249291196200 
0,0.091619106400 ,0.063240276000 ,-0.046339239500 ,0.049672510400 ,0.234971126700 
0,-0.305780024700 ,-0.143709126500 ,-0.227571722100 ,0.020665816200 ,0.087848560300 
0,-0.080706213900 ,-0.082338289300 ,-0.096321416100 ,0.015890420600 ,0.137422266700 
0,-0.125398238300 ,0.092940453300 ,0.003251427900 ,0.004572875000 ,0.060655534300 
0,-0.029570298500 ,-0.003173443000 ,-0.028632881500 ,0.018870422700 ,0.134140992700 
0,-0.333348248400 ,-2.332460576200 ,-1.210033611400 ,0.514406387000 ,0.571060853200 
0,0.315790123600 ,-2.138832577200 ,0.185843277100 ,5.985689421100 ,0.080348271400 
0,0.432477021500 ,-0.143355643200 ,-0.123746712000 ,0.548121234000 ,0.133982856700 
1,0.154284733100 ,0.132450226300 ,-0.036685090400 ,0.012320444900 ,0.266801796000 
1,0.332909247800 ,0.012653473800 ,0.011670166000 ,0.106857062200 ,0.233439018600 
1,0.413474010600 ,0.009538542100 ,0.029198871300 ,0.267788836100 ,0.204722289300 
1,0.183502769400 ,0.004671998000 ,0.051602727500 ,0.219292349900 ,0.247076382000 
1,0.183502769400 ,0.004671998000 ,0.051602727500 ,0.219292349900 ,0.247076382000 
1,0.261734021900 ,0.081402770500 ,0.006201564200 ,0.138796123400 ,0.185211642300 
1,0.193355614200 ,0.182149326500 ,-0.023832999800 ,0.103836999700 ,0.256352699900 
1,0.183091997400 ,0.086944996100 ,0.022905324700 ,0.129086998300 ,0.266909995800 
1,0.414070904700 ,0.013295062200 ,0.004667963200 ,0.053680998100 ,0.142738629400 
1,0.235116998200 ,0.063283821500 ,0.014636467200 ,0.057444887100 ,0.913303994600 
1,0.062890023500 ,0.113185970400 ,0.015578197300 ,0.258635981200 ,0.091184271100 
1,0.551882694700 ,0.215752670100 ,0.110578970300 ,0.615832764400 ,0.050753402400 
1,0.212992691400 ,0.025906270100 ,-0.022137522400 ,0.086615922100 ,0.167820998300 
1,-0.049047167100 ,0.182113747400 ,0.009461379400 ,0.120155180900 ,0.289715731000 
1,0.308805997300 ,0.227622629100 ,0.027629777400 ,0.417459998200 ,0.056025973200 
1,0.343107021400 ,0.099994010200 ,0.007663293700 ,0.197059001800 ,0.198729011500 
1,0.402152997100 ,0.116563999300 ,-0.091128002400 ,0.103584998700 ,0.156823998600 
0,-0.024970000000 ,-0.182460083200 ,-0.009105627000 ,0.011193546600 ,0.244010009200 
0,0.009084537200 ,0.032295049900 ,-0.004078619000 ,0.024768808900 ,0.219025967800 
0,-0.048094053700 ,-0.246952779100 ,-0.036372616500 ,0.001508153800 ,0.294729322100
0,-0.036852569600 ,-0.321330307500 ,-0.078575301700 ,0.003464013700 ,0.299058100500
0,0.119969063500 ,-0.090106325500 ,-0.006382531400 ,0.003186374600 ,0.297966600600 
1,0.068985602300 ,0.122406234600 ,0.029033891200 ,0.091943728900 ,0.685784891200 
1,0.293035287082 ,0.066148808897 ,0.010221947857 ,0.066876635199 ,0.210500508872 
1,-0.005364555434 ,0.097285386900 ,0.017226942119 ,87.744759864405 ,0.514228160375 
1,0.016759557306 ,0.109427255172 ,0.017432879385 ,83.631933846426 ,0.572872545262 
1,0.447797044004 ,-0.002702983061 ,-0.039116862299 ,0.037941868013 ,0.105334157994 
1,0.332434717091 ,0.189813104666 ,-0.010779181257 ,0.107173201803 ,0.208151635264 
1,0.399198467166 ,0.072417156002 ,0.011281357180 ,38.172787701148 ,0.202354907199 
1,0.299705010371 ,-0.037340081103 ,0.013930802217 ,154.418732843822 ,0.312230922644 